trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
187,False,"{'a': 0.3, 'e': 0.03452747137713528}",20,12,10.39763681942299,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.3, 'e': 0.033911536932488856}",25,18,10.27276689519726,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.3, 'e': 0.033306590122469906}",35,13,42.87629677452641,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.3, 'e': 0.03271243493901982}",20,11,19.663883161900724,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.3, 'e': 0.03212887887066145}",25,0,33.98080560410751,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
192,False,"{'a': 0.3, 'e': 0.031555732840123654}",20,12,12.195955412269283,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.3, 'e': 0.030992811143078575}",20,0,17.451991780260816,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
194,False,"{'a': 0.3, 'e': 0.030439931387971905}",20,6,26.647786591604813,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.3, 'e': 0.02989691443692632}",20,1,-8.670435223588616,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
196,False,"{'a': 0.3, 'e': 0.029363584347699347}",25,6,34.1055188754361,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.3, 'e': 0.028839768316676423}",30,13,37.318863634069025,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.3, 'e': 0.028325296622881135}",20,2,16.034605400062524,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.3, 'e': 0.027820002572984018}",20,10,19.852479972438466,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.3, 'e': 0.02732372244729257}",25,18,14.320338143618123,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.3, 'e': 0.02683629544670454}",20,16,5.61995135174183,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.3, 'e': 0.0263575636406077}",30,15,22.884937627392116,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.3, 'e': 0.025887371915708866}",30,7,-11.250091852705864,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
204,False,"{'a': 0.3, 'e': 0.025425567925775903}",25,14,-1.8535160007004172,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
205,False,"{'a': 0.3, 'e': 0.024972002042276165}",30,0,46.56206272468412,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
206,False,"{'a': 0.3, 'e': 0.024526527305895548}",25,4,34.65734350911033,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.3, 'e': 0.024088999378922428}",20,8,24.117076183090848,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.3, 'e': 0.023659276498480913}",25,13,20.483705116112894,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.3, 'e': 0.023237219430598498}",30,10,29.66038752024553,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.3, 'e': 0.02282269142509298}",20,8,20.46850424992045,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.3, 'e': 0.022415558171264265}",20,9,11.573380167488228,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.3, 'e': 0.02201568775437645}",20,0,28.49044105250542,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
213,False,"{'a': 0.3, 'e': 0.021622950612916376}",30,19,20.046249200159586,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.3, 'e': 0.021237219496614494}",25,7,-59.769913590781336,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 1}",1
215,False,"{'a': 0.3, 'e': 0.020858369425214726}",20,0,31.260933777229397,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
216,False,"{'a': 0.3, 'e': 0.020486277647979705}",30,0,-3.730403877902292,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
217,False,"{'a': 0.3, 'e': 0.020120823603918533}",30,15,1.0466278993690057,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
218,False,"{'a': 0.3, 'e': 0.019761888882723896}",20,11,18.05028585592616,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.3, 'e': 0.019409357186406122}",20,12,14.900096246249774,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
